حلقہ نمبر3 بھوانہ,,,,,,,
صفحہ,بستی کا نام,یونین کونسل,مساجد,جماعتیں,ساتھی,نقشے پر ایڈریس,
43,احاطے466,,2,2,0,31066,32086
45,احمد آباد,,1,1,1,31061,32068
34,اڈہ پٹھان کوٹ,,4,4,0,31076,32094
35,اڈہ جامع آباد,,4,4,8,31072,32088
43,اڈہ چھوٹا خانوآنہ,,3,1,0,31064,32080
43,اڈہ خانوآنہ,,1,1,0,31067,32080
43,اڈہ ڈوگھڑا,,1,1,1,31060,32082
48,اڈہ رحموآنہ,,1,1,0,31050,32091
44,اڈہ صادق آباد,,2,2,0,31062,32075
43,اڈہ منارا,,1,1,0,31064,32089
51,اڈہ نلکا,,4,2,10,31058,32064
49,اڈہ ہندلانہ,,2,2,0,31058,32085
49,اصطبل,,1,1,0,31059,32088
47,اضافی آبادی امین پور,,2,2,0,31059,32103
48,اعوان کالونی,,1,1,0,31058,32090
42,امن آباد,,1,1,0,31062,32093
43,امیرے کا کھوہ,,0,0,0,31061,32086
34,امیرے کی ڈھاری,,1,1,0,31075,32096
47,امین پور اوڈاں,,1,1,0,31059,32102
47,امین پور بنگلہ,,3,3,10,31059,32103
36,اوبھان,,1,1,2,31076,32076
44,ایوب نگر,,3,3,0,31065,32072
44,آبادی 22 والا,,1,1,0,31063,32073
44,آبادی ڈاکٹر محمد ارشاد,,1,1,0,31067,32078
44,آبادی عالم خان,,1,1,0,31067,32077
54,آبادی کشمیری 247,,1,1,0,31046,32084
43,آبادی مٹمل نمبر 2,,1,1,0,31067,32080
42,آبادی مولوی فضل کریم,,1,1,0,31062,32093
50,آبادی نواز آباد,,1,1,0,31054,32070
43,آبادی نور چھچھو,,1,1,0,31064,32084
34,آبادی نورا کدھر,,1,1,0,31074,30294
34,آبادی نورا نتھو ہرل,,0,0,0,31073,32095
49,آبادی ھرل 241,,1,1,0,31054,32085
49,آبادی ھرل 245,,1,1,0,31050,32082
50,آبادی ولہ رائے,,1,1,0,31058,32070
51,آرائیاں والا,,1,1,0,31055,32066
44,باٹا دربار,,1,1,0,31066,32074
35,باراں دیاں ہٹیان,,1,1,0,31077,32082
49,باقر کارمانہ,,1,1,0,31059,32084
42,بڈھ آبادی,,0,0,0,31060,32092
54,برال 247,,1,1,0,31048,32082
35,برخوردار,,2,2,6,31072,32084
44,بڑا باٹی والا 192,,2,2,0,31062,32078
51,بڑا کلر والا,,1,1,0,31056,32067
50,بستی پٹھان,,1,1,1,31050,32076
50,بستی چوکیرہ,,1,1,0,31052,32075
45,بستی نولاں,,1,1,2,31063,32066
44,بگھہ,,1,1,0,31069,32070
47,بگھو کے,,1,1,0,31057,32102
50,بگے والاچوک 195,,1,1,0,31058,32074
34,بلاول کا کھوہ,,1,1,0,31070,32098
43,بلہڑ سپراواں کی ڈھاریاں,,0,0,0,31063,32088
42,بلہڑ کے 238,,2,2,1,31062,32091
54,بلوآنہ 203,,1,1,0,31048,32089
54,بلوآنہ کالونی 203,,1,1,0,31047,32088
42,بلوچاں دیاں ڈھاریاں,,1,1,0,31067,32099
34,بندے والا,,1,1,0,31078,32099
35,بہلی جھلار,,1,1,0,31078,32081
34,بھابڑا,,1,1,0,31078,32094
44,بھٹھہ شمال,,0,0,0,31066,32079
44,بھٹھہ جنوب,,0,0,0,31065,32079
34,بھٹو کالونی,,2,2,0,31070,32090
47,بھٹیاں دا چک 185,,4,4,0,31056,32101
51,بھسی والا,,1,1,0,31055,32068
44,بھوانہ,,,,,31068,32078
42,بھینی رئیساں,,1,1,0,31061,32098
48,بوصال والی 206,,2,2,5,31056,32097
44,بونگہ,,2,2,6,31067,32074
44,بونگہ کالونی,,1,1,0,31067,32074
35,بوھڑ والا,,1,1,0,31070,32085
35,بیریاں والا نزد دربار خضر الیاس,,0,0,0,31071,32087
43,بیریاں والا نزد کالونی خانوآنہ,,1,1,1,31062,32080
48,پچیس نمبر آبادی,,1,1,0,31056,32095
45,پرانا بگھہ,,1,1,0,31066,32069
44,پرانی کچہریاں,,1,1,3,31068,32077
43,پل چک 186,,0,0,0,31062,32088
35,پل خضر الیاس,,1,1,0,31071,32088
50,پل دلو والی اڈہ,,1,1,1,31053,32074
50,پل ڈوبہ نہر کا کنارہ,,1,1,0,31050,32075
44,پل عادل والا بنگلہ,,1,1,0,31062,32075
35,پل گڈیاں والا,,1,1,1,31072,32084
